% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=438176, Wed Apr  8 19:42:38 2020, <python>{}</python>
1 8 2.394244748070248 1.0000400008000108 255073008.74945068 2.5507300874945068e+08 1304432373.7752132 2450415480.081975   
2 16 2.254829239680953 1.2433347583637795 255073008.74945068 3.1142987793153548e+08 988590222.131671 2511823728.464525   
3 24 2.0135406288150635 1.4148297682225206 255073008.74945068 3.0833830749140942e+08 502092372.0069001 4285239124.466081   
4 32 1.654569277807401 1.7004699134502796 41231626.747005165 4.1231626747005165e+07 419940363.0017729 1741934466.129323   
5 40 1.5979689151191305 1.72217941406332 41231626.747005165 1.5568304033956194e+08 301228748.99726987 615021604.2496151   
6 48 1.5369481803521772 1.724103015766881 29994022.63437602 2.9994022634376019e+07 263698036.52169013 1115523113.2745745   
7 56 1.401426515814644 1.7886110703796345 29994022.63437602 1.1948847212509888e+08 202684393.60193354 855220401.8185902   
8 64 1.27157724880475 1.8924293862964103 29994022.63437602 4.2245010004649878e+07 155913963.23175895 497670345.8543029   
9 72 1.1337434749701927 2.051223165121933 27941171.111329406 2.7941171111329406e+07 166358544.6093647 327966013.19641227   
10 80 0.9659076035939819 2.1808165439593363 27941171.111329406 4.8852613565639108e+07 95988915.12122211 255598309.50161487   
11 88 0.8350991021840489 2.296581374020151 27941171.111329406 4.1483049724389017e+07 144879572.73200154 233293349.79497153   
12 96 1.0064097075923208 2.302963809921047 21952776.19000429 2.1952776190004289e+07 38847156.03265005 110786317.65305549   
13 104 1.140657067795347 2.892021441925238 21952776.19000429 3.8820137152258366e+07 57866548.36356628 140342928.65154958   
