% # columns="iteration, evaluation, void, void, void, xmean", seed=438176, Wed Apr  8 19:42:38 2020, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 8 0 0 0 1.024948781343342 1.7754851202990438 -2.1557016348010962 1.8595754142976575 -1.2356007011128856
2 16 0 0 0 0.7398768450766204 2.378705262065006 -3.379698128799175 2.4273125637716526 -0.24651843001769103
3 24 0 0 0 1.7764898435819756 1.8944365273939847 -2.756819444219156 2.3831613805496272 -1.8579032641184146
4 32 0 0 0 1.444483056205923 1.7645613714537005 -1.717369344149059 1.1718633599479753 -0.5296821526174207
5 40 0 0 0 2.470241784261471 2.4166460417531197 -1.3813719478078814 -0.165182694392205 -0.737073141755684
6 48 0 0 0 2.6229257349771373 2.449205294818589 -0.009376621103808658 0.6725388863812296 -1.2861104155343634
7 56 0 0 0 2.681752930415473 2.547220382103724 0.18604204875148425 1.1346808519410074 -1.815343371189666
8 64 0 0 0 2.6526938814301415 3.0638284981615453 -0.16911670108961532 1.5775834038860035 -2.277997131872108
9 72 0 0 0 2.6649949653683134 2.938943674172736 0.6792400962296563 0.7599635388194556 -2.197521950252677
10 80 0 0 0 2.8880398292906895 3.2552988107604173 0.4223740876460377 1.6199450431971427 -2.3214759093149784
11 88 0 0 0 2.5826892041972824 3.436824461659104 0.35105467264706913 1.224929118111142 -2.181679955032096
12 96 0 0 0 3.7233598322094945 4.61318909319195 0.17657623939921738 0.4099245242832754 -2.3453613551881825
13 104 0 0 0 3.618668810289191 4.982048863691166 0.28951572652344293 -0.18475364196534472 -1.558327108940567
